experiment,config,buckets,alpha,bpb,source,seed,e_log2_z,z_max,orders,notes
exp1,,1048576,0.1,0.17615200,clanker_fullprec,,,,,
exp1,,1048576,0.5,0.15946782,clanker_fullprec,,,,,
exp1,,1048576,1.0,0.15545100,clanker_fullprec,,,,,
exp1,,1048576,2.0,0.15538250,clanker_fullprec,,,,,
exp1,,1048576,5.0,0.16613507,clanker_fullprec,,,,,
exp1,,1048576,10.0,0.18911185,clanker_fullprec,,,,,
exp1,,1048576,50.0,0.34776045,clanker_fullprec,,,,,
exp1,,1048576,100.0,0.48326554,clanker_fullprec,,,,,
exp1,,1048576,500.0,0.92157950,clanker_fullprec,,,,,
exp1,,4194304,0.1,0.44058340,clanker_fullprec,,,,,
exp1,,4194304,0.5,0.37577059,clanker_fullprec,,,,,
exp1,,4194304,1.0,0.35989472,clanker_fullprec,,,,,
exp1,,4194304,2.0,0.35858016,clanker_fullprec,,,,,
exp1,,4194304,5.0,0.39240867,clanker_fullprec,,,,,
exp1,,4194304,10.0,0.45644749,clanker_fullprec,,,,,
exp1,,4194304,50.0,0.75421701,clanker_fullprec,,,,,
exp1,,4194304,100.0,0.92971703,clanker_fullprec,,,,,
exp1,,4194304,500.0,1.34599581,clanker_fullprec,,,,,
exp1,,16777216,0.1,1.23238267,clanker_fullprec,,,,,
exp1,,16777216,0.5,0.98388451,clanker_fullprec,,,,,
exp1,,16777216,1.0,0.91320612,clanker_fullprec,,,,,
exp1,,16777216,2.0,0.87929819,clanker_fullprec,,,,,
exp1,,16777216,5.0,0.90123736,clanker_fullprec,,,,,
exp1,,16777216,10.0,0.96701387,clanker_fullprec,,,,,
exp1,,16777216,50.0,1.23033215,clanker_fullprec,,,,,
exp1,,16777216,100.0,1.36361066,clanker_fullprec,,,,,
exp1,,16777216,500.0,1.64354622,clanker_fullprec,,,,,
exp1,,67108864,0.1,2.71685765,clanker_fullprec,,,,,
exp1,,67108864,0.5,2.13384938,clanker_fullprec,,,,,
exp1,,67108864,1.0,1.93048679,clanker_fullprec,,,,,
exp1,,67108864,2.0,1.77358167,clanker_fullprec,,,,,
exp1,,67108864,5.0,1.64480766,pod2_run,,,,,
exp1,,67108864,10.0,1.60272433,pod2_run,,,,,
exp1,,67108864,50.0,1.63660983,pod2_run,,,,,
exp1,,67108864,100.0,1.68463888,pod2_run,,,,,
exp1,,67108864,500.0,1.80725807,pod2_run,,,,,
exp1b,uniform_2,1048576,,0.15535996,pod2_run,,,,2-7,per_order_conc=2|2|2|2|2|2
exp1b,uniform_2,4194304,,0.35853674,pod2_run,,,,2-7,per_order_conc=2|2|2|2|2|2
exp1b,uniform_2,16777216,,0.87921691,pod2_run,,,,2-7,per_order_conc=2|2|2|2|2|2
exp1b,uniform_2,67108864,,1.77346204,pod2_run,,,,2-7,per_order_conc=2|2|2|2|2|2
exp1b,flat50,1048576,,0.34770433,pod2_run,,,,2-7,per_order_conc=50|50|50|50|50|50
exp1b,flat50,4194304,,0.75410970,pod2_run,,,,2-7,per_order_conc=50|50|50|50|50|50
exp1b,flat50,16777216,,1.23013880,pod2_run,,,,2-7,per_order_conc=50|50|50|50|50|50
exp1b,flat50,67108864,,1.63660983,pod2_run,,,,2-7,per_order_conc=50|50|50|50|50|50
exp1b,collision_only,1048576,,0.60112242,pod2_run,,,,2-7,per_order_conc=7.39|14.78|59.13|118.26|236.51|473.02
exp1b,collision_only,4194304,,0.74917645,pod2_run,,,,2-7,per_order_conc=1.85|3.70|14.78|29.56|59.13|118.26
exp1b,collision_only,16777216,,1.06156236,pod2_run,,,,2-7,per_order_conc=0.46|0.92|3.70|7.39|14.78|29.56
exp1b,collision_only,67108864,,1.87328892,pod2_run,,,,2-7,per_order_conc=0.12|0.23|0.92|1.85|3.70|7.39
exp1b,eb_mild,1048576,,0.46134848,pod2_run,,,,2-7,per_order_conc=4|8|30|60|120|240
exp1b,eb_mild,4194304,,0.62310795,pod2_run,,,,2-7,per_order_conc=4|8|15|30|60|120
exp1b,eb_mild,16777216,,0.97351515,pod2_run,,,,2-7,per_order_conc=4|8|8|15|30|60
exp1b,eb_mild,67108864,,1.74219722,pod2_run,,,,2-7,per_order_conc=4|8|4|8|15|30
exp1b,eb_strong,1048576,,0.61298504,pod2_run,,,,2-7,per_order_conc=8|16|60|120|240|480
exp1b,eb_strong,4194304,,0.76342378,pod2_run,,,,2-7,per_order_conc=8|16|30|60|120|240
exp1b,eb_strong,16777216,,1.05548724,pod2_run,,,,2-7,per_order_conc=8|16|15|30|60|120
exp1b,eb_strong,67108864,,1.66431847,pod2_run,,,,2-7,per_order_conc=8|16|8|15|30|60
exp1b,inverse_obcl,1048576,,0.15300148,pod2_run,,,,2-7,per_order_conc=0.50|0.93|3.72|7.44|14.88|29.75
exp1b,inverse_obcl,4194304,,0.34753970,pod2_run,,,,2-7,per_order_conc=2.00|3.72|14.88|29.75|59.50|119.00
exp1b,inverse_obcl,16777216,,0.93863712,pod2_run,,,,2-7,per_order_conc=8.00|14.88|59.50|119.00|238.00|476.00
exp1b,inverse_obcl,67108864,,1.58879136,pod2_run,,,,2-7,per_order_conc=32.00|59.50|238.00|476.00|952.00|1904.00
exp1b,alpha_match,67108864,,1.64807291,pod2_run,,,,2-7,per_order_conc=60|60|60|60|60|60
exp1b,sanity10k,1048576,,1.49327198,pod2_run,,,,2-7,per_order_conc=10000|10000|10000|10000|10000|10000
exp1b,sanity10k,67108864,,1.72990004,pod2_run,,,,2-7,per_order_conc=10000|10000|10000|10000|10000|10000
exp3,real_1M,1048576,,0.15535996,pod2_run,,,,,real collision structure
exp3,random_remap_1M,1048576,,0.16397038,pod2_run,,,,,random remap collision structure
exp3,clean_64M,67108864,,1.77346204,pod2_run,,,,,minimal collisions baseline
remap,,67108864,,0.16397038,pod2_run_original_exp3,54321,,,,NOISE_CONTROL_BUCKETS=1048576
remap,,67108864,,0.16403326,pod5_remap_v3,42,,,,NOISE_CONTROL_BUCKETS=1048576
remap,,67108864,,0.16406270,pod5_remap_v3,12345,,,,NOISE_CONTROL_BUCKETS=1048576
remap,,67108864,,0.16398507,pod5_remap_v3,99999,,,,NOISE_CONTROL_BUCKETS=1048576
remap,,67108864,,0.16400473,pod5_remap_v3,2026,,,,NOISE_CONTROL_BUCKETS=1048576
remap,,67108864,,0.16399863,pod5_remap_v3,314159,,,,NOISE_CONTROL_BUCKETS=1048576
remap,,67108864,,0.16405338,pod5_remap_v3,7777,,,,NOISE_CONTROL_BUCKETS=1048576
remap,,67108864,,0.16394580,pod5_remap_v3,415,,,,NOISE_CONTROL_BUCKETS=1048576
z_measurement,,1048576,2.0,0.15538,MEASURE_Z_EVERY=10,,9.6060,1023.96,,pod4
z_measurement,,4194304,2.0,0.35858,MEASURE_Z_EVERY=10,,9.0938,1014.92,,pod4
z_measurement,,16777216,2.0,0.87930,MEASURE_Z_EVERY=10,,7.8336,825.50,,pod4
z_measurement,,67108864,2.0,1.77358,MEASURE_Z_EVERY=10,,5.6301,428.15,,pod4
stepwise,,1048576,2.0,4.14960,NORMALIZE_STEPWISE=1,,,,,orders=2-7 normalize_stepwise=True
stepwise,,1048576,2.0,3.41689,NORMALIZE_STEPWISE=1 NGRAM_ORDER=3,,,,,orders=2-3 normalize_stepwise=True
stepwise,,1048576,2.0,3.85924,NORMALIZE_STEPWISE=1 NGRAM_ORDER=4,,,,,orders=2-4 normalize_stepwise=True
stepwise,,1048576,2.0,4.04729,NORMALIZE_STEPWISE=1 NGRAM_ORDER=5,,,,,orders=2-5 normalize_stepwise=True
bonus,highalpha,1048576,1000,1.11997246,pod2_run,,,,,
bonus,highalpha,1048576,5000,1.44953841,pod2_run,,,,,
bonus,highalpha,1048576,10000,1.49327198,pod2_run,,,,,
bonus,tiny,131072,2.0,0.05174093,pod2_run,,,,,
bonus,tiny,262144,2.0,0.07343538,pod2_run,,,,,
bonus,curve,131072,2.0,0.05174093,pod2_run,,,,,
bonus,curve,262144,2.0,0.07343538,pod2_run,,,,,
bonus,curve,524288,2.0,0.10584586,pod2_run,,,,,
bonus,curve,2097152,2.0,0.23319334,pod2_run,,,,,
bonus,curve,8388608,2.0,0.56169680,pod2_run,,,,,
bonus,curve,33554432,2.0,1.31971209,pod2_run,,,,,
bonus,order3,1048576,2.0,1.54590265,pod2_run,,,,2-3,
bonus,order5,1048576,2.0,0.36945366,pod2_run,,,,2-5,
bonus,order9,1048576,2.0,0.11689459,pod2_run,,,,2-9,
bonus,order11,1048576,2.0,0.10814216,pod2_run,,,,2-11,
bonus,order15,1048576,2.0,0.10331381,pod2_run,,,,2-15,
bonus,py_d0.05,1048576,2.0,0.15827974,pod2_run,,,,,PY_DISCOUNT=0.05
