buckets,concentration,bpb,source
1048576,0.1,0.17615200,clanker_fullprec
1048576,0.5,0.15946782,clanker_fullprec
1048576,1.0,0.15545100,clanker_fullprec
1048576,2.0,0.15538250,clanker_fullprec
1048576,5.0,0.16613507,clanker_fullprec
1048576,10.0,0.18911185,clanker_fullprec
1048576,50.0,0.34776045,clanker_fullprec
1048576,100.0,0.48326554,clanker_fullprec
1048576,500.0,0.92157950,clanker_fullprec
4194304,0.1,0.44058340,clanker_fullprec
4194304,0.5,0.37577059,clanker_fullprec
4194304,1.0,0.35989472,clanker_fullprec
4194304,2.0,0.35858016,clanker_fullprec
4194304,5.0,0.39240867,clanker_fullprec
4194304,10.0,0.45644749,clanker_fullprec
4194304,50.0,0.75421701,clanker_fullprec
4194304,100.0,0.92971703,clanker_fullprec
4194304,500.0,1.34599581,clanker_fullprec
16777216,0.1,1.23238267,clanker_fullprec
16777216,0.5,0.98388451,clanker_fullprec
16777216,1.0,0.91320612,clanker_fullprec
16777216,2.0,0.87929819,clanker_fullprec
16777216,5.0,0.90123736,clanker_fullprec
16777216,10.0,0.96701387,clanker_fullprec
16777216,50.0,1.23033215,clanker_fullprec
16777216,100.0,1.36361066,clanker_fullprec
16777216,500.0,1.64354622,clanker_fullprec
67108864,0.1,2.71685765,clanker_fullprec
67108864,0.5,2.13384938,clanker_fullprec
67108864,1.0,1.93048679,clanker_fullprec
67108864,2.0,1.77358167,clanker_fullprec
67108864,5.0,1.64480766,pod2_run
67108864,10.0,1.60272433,pod2_run
67108864,50.0,1.63660983,pod2_run
67108864,100.0,1.68463888,pod2_run
67108864,500.0,1.80725807,pod2_run
