buckets,profile,per_order_conc,bpb,source
1048576,uniform_2,2|2|2|2|2|2,0.15535996,pod2_run
4194304,uniform_2,2|2|2|2|2|2,0.35853674,pod2_run
16777216,uniform_2,2|2|2|2|2|2,0.87921691,pod2_run
67108864,uniform_2,2|2|2|2|2|2,1.77346204,pod2_run
1048576,flat50,50|50|50|50|50|50,0.34770433,pod2_run
4194304,flat50,50|50|50|50|50|50,0.75410970,pod2_run
16777216,flat50,50|50|50|50|50|50,1.23013880,pod2_run
67108864,flat50,50|50|50|50|50|50,1.63660983,pod2_run
1048576,collision_only,7.39|14.78|59.13|118.26|236.51|473.02,0.60112242,pod2_run
4194304,collision_only,1.85|3.70|14.78|29.56|59.13|118.26,0.74917645,pod2_run
16777216,collision_only,0.46|0.92|3.70|7.39|14.78|29.56,1.06156236,pod2_run
67108864,collision_only,0.12|0.23|0.92|1.85|3.70|7.39,1.87328892,pod2_run
1048576,eb_mild,4|8|30|60|120|240,0.46134848,pod2_run
4194304,eb_mild,4|8|15|30|60|120,0.62310795,pod2_run
16777216,eb_mild,4|8|8|15|30|60,0.97351515,pod2_run
67108864,eb_mild,4|8|4|8|15|30,1.74219722,pod2_run
1048576,eb_strong,8|16|60|120|240|480,0.61298504,pod2_run
4194304,eb_strong,8|16|30|60|120|240,0.76342378,pod2_run
16777216,eb_strong,8|16|15|30|60|120,1.05548724,pod2_run
67108864,eb_strong,8|16|8|15|30|60,1.66431847,pod2_run
1048576,inverse_obcl,0.50|0.93|3.72|7.44|14.88|29.75,0.15300148,pod2_run
4194304,inverse_obcl,2.00|3.72|14.88|29.75|59.50|119.00,0.34753970,pod2_run
16777216,inverse_obcl,8.00|14.88|59.50|119.00|238.00|476.00,0.93863712,pod2_run
67108864,inverse_obcl,32.00|59.50|238.00|476.00|952.00|1904.00,1.58879136,pod2_run
67108864,alpha_match,60|60|60|60|60|60,1.64807291,pod2_run
1048576,sanity10k,10000|10000|10000|10000|10000|10000,1.49327198,pod2_run
67108864,sanity10k,10000|10000|10000|10000|10000|10000,1.72990004,pod2_run
